country,data_quality,income_group,sex,number_suicides_2021,crude_suicide_rate_2021,age_standardized_suicide_rate_2021
Albania,Low,UMI,Both sexes,78,2.8,2.1
Albania,Low,UMI,Females,33,2.3,1.7
Albania,Low,UMI,Males,45,3.2,2.6
Armenia,High,UMI,Both sexes,69,2.5,1.9
Armenia,High,UMI,Females,14,1.0,0.7
Armenia,High,UMI,Males,55,4.2,3.6
Austria,High,HI,Both sexes,1301,14.5,10.2
Austria,High,HI,Females,262,5.7,4.1
Austria,High,HI,Males,1040,23.6,16.7
Azerbaijan,Very low,UMI,Both sexes,160,1.6,1.6
Azerbaijan,Very low,UMI,Females,43,0.8,0.8
Azerbaijan,Very low,UMI,Males,117,2.3,2.4
Belarus,High,UMI,Both sexes,1444,15.6,11.7
Belarus,High,UMI,Females,250,5.1,3.3
Belarus,High,UMI,Males,1194,27.7,22.1
Belgium,High,HI,Both sexes,2124,18.4,14.3
Belgium,High,HI,Females,627,10.7,8.0
Belgium,High,HI,Males,1497,26.2,20.8
Bosnia and Herzegovina,Medium,UMI,Both sexes,291,9.0,5.7
Bosnia and Herzegovina,Medium,UMI,Females,80,4.7,2.4
Bosnia and Herzegovina,Medium,UMI,Males,211,13.7,9.5
Bulgaria,Medium,HI,Both sexes,654,9.5,6.3
Bulgaria,Medium,HI,Females,149,4.2,2.6
Bulgaria,Medium,HI,Males,505,15.2,10.4
Croatia,High,HI,Both sexes,615,15.7,10.6
Croatia,High,HI,Females,141,6.9,4.2
Croatia,High,HI,Males,474,25.1,17.6
Cyprus,High,HI,Both sexes,40,3.0,2.7
Cyprus,High,HI,Females,14,2.2,1.6
Cyprus,High,HI,Males,26,3.8,3.7
Czechia,High,HI,Both sexes,1403,13.3,10.3
Czechia,High,HI,Females,303,5.7,4.6
Czechia,High,HI,Males,1100,21.2,16.3
Denmark,High,HI,Both sexes,613,10.5,7.6
Denmark,High,HI,Females,186,6.3,4.3
Denmark,High,HI,Males,427,14.7,11.0
Estonia,High,HI,Both sexes,199,14.9,12.5
Estonia,High,HI,Females,40,5.8,5.3
Estonia,High,HI,Males,159,25.1,20.4
Finland,High,HI,Both sexes,807,14.6,12.6
Finland,High,HI,Females,246,8.8,7.9
Finland,High,HI,Males,562,20.5,17.4
France,Medium,HI,Both sexes,10957,16.6,11.8
France,Medium,HI,Females,3242,9.5,6.0
France,Medium,HI,Males,7715,24.1,18.0
Georgia,Medium,UMI,Both sexes,193,5.1,4.6
Georgia,Medium,UMI,Females,26,1.3,1.0
Georgia,Medium,UMI,Males,167,9.5,8.9
Germany,High,HI,Both sexes,10799,12.9,8.2
Germany,High,HI,Females,3213,7.6,4.2
Germany,High,HI,Males,7587,18.4,12.2
Greece,Medium,HI,Both sexes,495,4.7,3.4
Greece,Medium,HI,Females,89,1.6,1.2
Greece,Medium,HI,Males,407,7.9,5.8
Hungary,High,HI,Both sexes,1597,16.5,11.4
Hungary,High,HI,Females,378,7.5,4.8
Hungary,High,HI,Males,1219,26.2,19.0
Iceland,High,HI,Both sexes,44,11.9,10.8
Iceland,High,HI,Females,17,9.3,8.4
Iceland,High,HI,Males,27,14.4,13.0
Ireland,High,HI,Both sexes,430,8.5,7.7
Ireland,High,HI,Females,116,4.6,4.2
Ireland,High,HI,Males,313,12.6,11.3
Israel,High,HI,Both sexes,391,4.4,4.4
Israel,High,HI,Females,110,2.4,2.3
Israel,High,HI,Males,280,6.3,6.5
Italy,High,HI,Both sexes,4176,7.0,4.6
Italy,High,HI,Females,1108,3.6,2.2
Italy,High,HI,Males,3068,10.5,7.1
Kazakhstan,High,UMI,Both sexes,2882,14.6,15.2
Kazakhstan,High,UMI,Females,540,5.3,5.5
Kazakhstan,High,UMI,Males,2343,24.4,26.2
Kyrgyzstan,High,LMI,Both sexes,464,6.8,7.8
Kyrgyzstan,High,LMI,Females,108,3.1,3.6
Kyrgyzstan,High,LMI,Males,355,10.5,12.4
Latvia,High,HI,Both sexes,287,15.2,12.0
Latvia,High,HI,Females,47,4.6,3.0
Latvia,High,HI,Males,240,27.5,22.1
Lithuania,High,HI,Both sexes,618,22.1,16.8
Lithuania,High,HI,Females,136,9.2,5.9
Lithuania,High,HI,Males,483,36.7,28.8
Luxembourg,High,HI,Both sexes,53,8.2,6.2
Luxembourg,High,HI,Females,14,4.3,2.9
Luxembourg,High,HI,Males,39,12.1,9.6
Malta,High,HI,Both sexes,34,6.5,5.6
Malta,High,HI,Females,11,4.4,3.3
Malta,High,HI,Males,23,8.4,7.5
Montenegro,Low,UMI,Both sexes,68,11.3,8.9
Montenegro,Low,UMI,Females,19,6.0,4.3
Montenegro,Low,UMI,Males,50,17.1,14.1
Netherlands (Kingdom of the),High,HI,Both sexes,2040,11.5,9.1
Netherlands (Kingdom of the),High,HI,Females,680,7.6,5.9
Netherlands (Kingdom of the),High,HI,Males,1359,15.4,12.5
North Macedonia,Medium,UMI,Both sexes,107,5.8,4.6
North Macedonia,Medium,UMI,Females,36,3.8,3.0
North Macedonia,Medium,UMI,Males,71,7.9,6.4
Norway,High,HI,Both sexes,713,13.2,11.4
Norway,High,HI,Females,199,7.4,6.3
Norway,High,HI,Males,515,18.9,16.3
Poland,Medium,HI,Both sexes,5199,13.7,11.5
Poland,Medium,HI,Females,753,3.8,3.2
Poland,Medium,HI,Males,4446,24.1,20.2
Portugal,High,HI,Both sexes,1197,11.5,7.2
Portugal,High,HI,Females,323,5.9,3.5
Portugal,High,HI,Males,874,17.7,11.4
Republic of Moldova,High,UMI,Both sexes,428,14.1,11.9
Republic of Moldova,High,UMI,Females,82,5.0,4.0
Republic of Moldova,High,UMI,Males,346,24.8,22.1
Romania,High,HI,Both sexes,1852,9.6,7.2
Romania,High,HI,Females,327,3.3,2.3
Romania,High,HI,Males,1526,16.4,12.5
Russian Federation,Medium,HI,Both sexes,31172,21.4,17.9
Russian Federation,Medium,HI,Females,6320,8.1,6.1
Russian Federation,Medium,HI,Males,24852,36.7,31.6
Serbia,Medium,UMI,Both sexes,1035,15.1,9.4
Serbia,Medium,UMI,Females,287,8.0,4.4
Serbia,Medium,UMI,Males,748,23.0,15.0
Slovakia,High,HI,Both sexes,539,9.9,7.6
Slovakia,High,HI,Females,84,3.0,2.3
Slovakia,High,HI,Males,455,17.1,13.5
Slovenia,High,HI,Both sexes,398,18.9,13.2
Slovenia,High,HI,Females,81,7.7,5.1
Slovenia,High,HI,Males,318,29.9,21.4
Spain,High,HI,Both sexes,4160,8.7,6.2
Spain,High,HI,Females,1085,4.5,3.2
Spain,High,HI,Males,3075,13.1,9.4
Sweden,High,HI,Both sexes,1442,13.8,11.7
Sweden,High,HI,Females,450,8.7,7.1
Sweden,High,HI,Males,992,18.9,16.2
Switzerland,High,HI,Both sexes,1221,14.0,9.9
Switzerland,High,HI,Females,403,9.2,6.0
Switzerland,High,HI,Males,818,18.9,13.9
Tajikistan,Low,LMI,Both sexes,242,2.4,3.1
Tajikistan,Low,LMI,Females,68,1.3,1.7
Tajikistan,Low,LMI,Males,174,3.6,4.5
Türkiye,Medium,UMI,Both sexes,2332,2.7,2.6
Türkiye,Medium,UMI,Females,473,1.1,1.0
Türkiye,Medium,UMI,Males,1859,4.3,4.2
Turkmenistan,Very low,UMI,Both sexes,484,6.8,7.5
Turkmenistan,Very low,UMI,Females,126,3.5,3.9
Turkmenistan,Very low,UMI,Males,358,10.3,11.7
Ukraine,Medium,UMI,Both sexes,9397,21.2,17.0
Ukraine,Medium,UMI,Females,1625,6.9,4.7
Ukraine,Medium,UMI,Males,7773,37.7,30.9
United Kingdom of Great Britain and Northern Ireland,High,HI,Both sexes,6461,9.5,8.8
United Kingdom of Great Britain and Northern Ireland,High,HI,Females,1581,4.6,4.1
United Kingdom of Great Britain and Northern Ireland,High,HI,Males,4880,14.7,13.5
Uzbekistan,Medium,LMI,Both sexes,2857,8.3,9.1
Uzbekistan,Medium,LMI,Females,1029,6.1,6.5
Uzbekistan,Medium,LMI,Males,1828,10.6,11.8
