country,data_quality,income_group,sex,number_suicides_2021,crude_suicide_rate_2021,age_standardized_suicide_rate_2021
Bangladesh,Very low,LMI,Both sexes,4714,2.8,2.9
Bangladesh,Very low,LMI,Females,1701,2.0,1.9
Bangladesh,Very low,LMI,Males,3013,3.6,3.9
Bhutan,Very low,LMI,Both sexes,38,4.9,5.1
Bhutan,Very low,LMI,Females,12,3.4,3.6
Bhutan,Very low,LMI,Males,26,6.2,6.5
Democratic People's Republic of Korea,Very low,LI,Both sexes,2442,9.3,7.6
Democratic People's Republic of Korea,Very low,LI,Females,1078,8.1,6.3
Democratic People's Republic of Korea,Very low,LI,Males,1363,10.5,9.1
India,Very low,LMI,Both sexes,177567,12.6,12.6
India,Very low,LMI,Females,76848,11.2,11.1
India,Very low,LMI,Males,100719,13.8,14.1
Indonesia,Very low,UMI,Both sexes,3333,1.2,1.3
Indonesia,Very low,UMI,Females,1257,0.9,0.9
Indonesia,Very low,UMI,Males,2076,1.5,1.7
Maldives,Low,UMI,Both sexes,8,1.5,2.0
Maldives,Low,UMI,Females,1,0.3,0.4
Maldives,Low,UMI,Males,7,2.2,3.2
Myanmar,Very low,LMI,Both sexes,1545,2.9,2.9
Myanmar,Very low,LMI,Females,274,1.0,1.0
Myanmar,Very low,LMI,Males,1271,4.8,4.9
Nepal,Very low,LMI,Both sexes,2989,10.1,11.1
Nepal,Very low,LMI,Females,1091,7.2,7.2
Nepal,Very low,LMI,Males,1898,13.3,15.8
Sri Lanka,Medium,LMI,Both sexes,3347,14.7,14.0
Sri Lanka,Medium,LMI,Females,685,5.9,5.6
Sri Lanka,Medium,LMI,Males,2661,24.2,23.6
Thailand,Low,UMI,Both sexes,11899,16.6,15.4
Thailand,Low,UMI,Females,2011,5.5,4.8
Thailand,Low,UMI,Males,9887,28.2,26.2
Timor-Leste,Very low,LMI,Both sexes,48,3.6,4.2
Timor-Leste,Very low,LMI,Females,15,2.3,2.6
Timor-Leste,Very low,LMI,Males,33,4.8,5.8
