iso3,gdp_per_capita_usd,unemployment_pct,health_exp_per_capita_usd,alcohol_litres_per_capita,gini_index,urban_population_pct,life_expectancy_years
ABW,38590.5650288641,,,,,61.7485249229588,76.5
AFE,1722.38561960923,7.53923324035891,88.48558529145,4.20169209894477,,38.7021396558821,65.3499304660954
AFG,416.871146273728,13.351,59.06770706,0.011,,25.9401644699898,66.289
AFW,1600.05837434388,3.19297271435272,65.900206902325,4.08682483872663,,53.4772052295821,59.041538008007
AGO,3129.47662331063,14.108,76.07118225,4.13,,71.4615915176085,64.805
ALB,12998.147869552,10.926,590.62799072,4.47,29.4,58.871474331067,79.776
AND,54291.5026031052,,3605.19799805,9.68,,88.9492672283129,84.188
ARB,7544.41435641482,9.19017299614363,363.465124423147,0.310785959458413,,60.0362191816888,72.721805028968
ARE,50273.5126243239,2.174,2401.52026367,2.08,,85.9617641324017,83.069
ARG,14898.0885943842,7.145,1456.98596191,8.05,42.4,92.3519221615173,77.543
ARM,9474.01849300368,12.871,766.95874023,4.28,27.4,65.9287015589872,78.319512195122
ASM,18017.4589383973,,,,,80.5123508239818,72.992
ATG,24819.2454680158,,841.24884033,6.66,,24.3334834700661,77.766
AUS,65129.7227990563,4.09,6980.38525391,10.29,33.8,87.7192672666333,83.0512195121951
AUT,62930.0351324599,5.582,6739.30908203,11.51,31.2,69.7152152366353,81.9951219512195
AZE,7410.72281660142,5.457,299.81060791,2.49,,58.6371024281175,74.576
BDI,233.823013385395,0.922,28.14028931,4.16,37.5,25.6870184681663,63.818
BEL,60750.2735864647,5.906,5931.01464844,9.43,26.8,87.6726083114649,82.3
BEN,1658.27312662991,1.589,46.52822113,8.83,34.4,53.3620073968188,60.961
BFA,1147.57131635601,3.477,71.73455048,11.27,37.4,28.9226360719085,61.292
BGD,2597.34352335275,3.778,53.46432495,0.092,30.9,33.2395847043975,74.93
BGR,20328.1667065538,3.536,1257.87597656,11.62,39.5,74.1727501848475,75.7609756097561
BHR,30596.5794898885,1.102,1175.81628418,1.25,,100.0,81.423
BHS,39455.4466548546,9.207,2262.33447266,3.65,,81.3309172016028,74.71
BIH,10381.8460703874,11.037,772.88568115,5.87,30.3,52.6915440779561,78.044
BLR,10279.2547190723,3.38,558.22644043,11.63,24.4,79.4945820380127,74.3653414634147
BLZ,7865.47937690933,8.856,309.40835571,3.67,,41.5621435428272,73.739
BMU,142250.433195123,,,,,100.0,82.49
BOL,5147.81081955367,2.967,255.04104614,3.59,40.9,71.5631037265869,68.739
BRA,10713.2856869511,5.97,1009.83563232,7.7,50.3,88.1772996487898,76.023
BRB,28364.8181499736,6.524,1286.47680664,8.22,,59.6996239887007,76.332
BRN,32234.6428368582,5.277,733.00543213,0.51,,75.0109886586819,75.501
