source_type,name,iso3,match_type
WHO,Afghanistan,AFG,lookup
WHO,Albania,ALB,lookup
WHO,Algeria,DZA,lookup
WHO,Angola,AGO,lookup
WHO,Antigua and Barbuda,ATG,lookup
WHO,Argentina,ARG,lookup
WHO,Armenia,ARM,lookup
WHO,Australia,AUS,lookup
WHO,Austria,AUT,lookup
WHO,Azerbaijan,AZE,lookup
WHO,Bahamas,BHS,override
WHO,Bahrain,BHR,lookup
WHO,Bangladesh,BGD,lookup
WHO,Barbados,BRB,lookup
WHO,Belarus,BLR,lookup
WHO,Belgium,BEL,lookup
WHO,Belize,BLZ,lookup
WHO,Benin,BEN,lookup
WHO,Bhutan,BTN,lookup
WHO,Bolivia,BOL,override
WHO,Bosnia and Herzegovina,BIH,lookup
WHO,Botswana,BWA,lookup
WHO,Brazil,BRA,lookup
WHO,Brunei Darussalam,BRN,override
WHO,Bulgaria,BGR,lookup
WHO,Burkina Faso,BFA,lookup
WHO,Burundi,BDI,lookup
WHO,Cabo Verde,CPV,override
WHO,Cambodia,KHM,lookup
WHO,Cameroon,CMR,lookup
WHO,Canada,CAN,lookup
WHO,Central African Republic,CAF,lookup
WHO,Chad,TCD,lookup
WHO,Chile,CHL,lookup
WHO,China,CHN,lookup
WHO,Colombia,COL,lookup
WHO,Comoros,COM,lookup
WHO,Congo,COG,lookup
WHO,Costa Rica,CRI,lookup
WHO,Croatia,HRV,lookup
WHO,Cuba,CUB,lookup
WHO,Cyprus,CYP,lookup
WHO,Czechia,CZE,override
WHO,Côte d'Ivoire,CIV,override
WHO,Democratic People's Republic of Korea,PRK,override
WHO,Democratic Republic of the Congo,COD,override
WHO,Denmark,DNK,lookup
WHO,Djibouti,DJI,lookup
WHO,Dominican Republic,DOM,lookup
WHO,Ecuador,ECU,lookup
WHO,Egypt,EGY,lookup
WHO,El Salvador,SLV,lookup
WHO,Equatorial Guinea,GNQ,lookup
WHO,Eritrea,ERI,lookup
WHO,Estonia,EST,lookup
WHO,Eswatini,SWZ,override
WHO,Ethiopia,ETH,lookup
WHO,Fiji,FJI,lookup
WHO,Finland,FIN,lookup
WHO,France,FRA,lookup
WHO,Gabon,GAB,lookup
WHO,Gambia,GMB,override
WHO,Georgia,GEO,lookup
WHO,Germany,DEU,lookup
WHO,Ghana,GHA,lookup
WHO,Greece,GRC,lookup
WHO,Grenada,GRD,lookup
WHO,Guatemala,GTM,lookup
WHO,Guinea,GIN,lookup
WHO,Guinea-Bissau,GNB,lookup
WHO,Guyana,GUY,lookup
WHO,Haiti,HTI,lookup
WHO,Honduras,HND,lookup
WHO,Hungary,HUN,lookup
WHO,Iceland,ISL,lookup
WHO,India,IND,lookup
WHO,Indonesia,IDN,lookup
WHO,Iran (Islamic Republic of),IRN,override
WHO,Iraq,IRQ,lookup
WHO,Ireland,IRL,lookup
WHO,Israel,ISR,lookup
WHO,Italy,ITA,lookup
WHO,Jamaica,JAM,lookup
WHO,Japan,JPN,lookup
WHO,Jordan,JOR,lookup
WHO,Kazakhstan,KAZ,lookup
WHO,Kenya,KEN,lookup
WHO,Kiribati,KIR,lookup
WHO,Kuwait,KWT,lookup
WHO,Kyrgyzstan,KGZ,lookup
WHO,Lao People's Democratic Republic,LAO,override
WHO,Latvia,LVA,lookup
WHO,Lebanon,LBN,lookup
WHO,Lesotho,LSO,lookup
WHO,Liberia,LBR,lookup
WHO,Libya,LBY,lookup
WHO,Lithuania,LTU,lookup
WHO,Luxembourg,LUX,lookup
WHO,Madagascar,MDG,lookup
WHO,Malawi,MWI,lookup
WHO,Malaysia,MYS,lookup
WHO,Maldives,MDV,lookup
WHO,Mali,MLI,lookup
WHO,Malta,MLT,lookup
WHO,Mauritania,MRT,lookup
WHO,Mauritius,MUS,lookup
WHO,Mexico,MEX,override
WHO,Micronesia (Federated States of),FSM,override
WHO,Mongolia,MNG,lookup
WHO,Montenegro,MNE,lookup
WHO,Morocco,MAR,lookup
WHO,Mozambique,MOZ,lookup
WHO,Myanmar,MMR,lookup
WHO,Namibia,NAM,lookup
WHO,Nepal,NPL,lookup
WHO,Netherlands (Kingdom of the),NLD,override
WHO,New Zealand,NZL,lookup
WHO,Nicaragua,NIC,lookup
WHO,Niger,NER,lookup
WHO,Nigeria,NGA,lookup
WHO,North Macedonia,MKD,override
WHO,Norway,NOR,lookup
WHO,Oman,OMN,lookup
WHO,Pakistan,PAK,lookup
WHO,Panama,PAN,lookup
WHO,Papua New Guinea,PNG,lookup
WHO,Paraguay,PRY,lookup
WHO,Peru,PER,lookup
WHO,Philippines,PHL,lookup
WHO,Poland,POL,lookup
WHO,Portugal,PRT,lookup
WHO,Qatar,QAT,lookup
WHO,Republic of Korea,KOR,override
WHO,Republic of Moldova,MDA,override
WHO,Romania,ROU,lookup
WHO,Russian Federation,RUS,override
WHO,Rwanda,RWA,lookup
WHO,Saint Lucia,LCA,lookup
WHO,Saint Vincent and the Grenadines,VCT,lookup
WHO,Samoa,WSM,lookup
WHO,Sao Tome and Principe,STP,override
WHO,Saudi Arabia,SAU,lookup
WHO,Senegal,SEN,lookup
WHO,Serbia,SRB,lookup
WHO,Seychelles,SYC,lookup
WHO,Sierra Leone,SLE,lookup
WHO,Singapore,SGP,lookup
WHO,Slovakia,SVK,lookup
WHO,Slovenia,SVN,lookup
WHO,Solomon Islands,SLB,lookup
WHO,Somalia,SOM,lookup
WHO,South Africa,ZAF,lookup
WHO,South Sudan,SSD,lookup
WHO,Spain,ESP,lookup
WHO,Sri Lanka,LKA,lookup
WHO,Sudan,SDN,lookup
WHO,Suriname,SUR,lookup
WHO,Sweden,SWE,lookup
WHO,Switzerland,CHE,lookup
WHO,Syrian Arab Republic,SYR,override
WHO,Tajikistan,TJK,lookup
WHO,Thailand,THA,lookup
WHO,Timor-Leste,TLS,override
WHO,Togo,TGO,lookup
WHO,Tonga,TON,lookup
WHO,Trinidad and Tobago,TTO,lookup
WHO,Tunisia,TUN,lookup
WHO,Turkmenistan,TKM,lookup
WHO,Türkiye,TUR,override
WHO,Uganda,UGA,lookup
WHO,Ukraine,UKR,lookup
WHO,United Arab Emirates,ARE,lookup
WHO,United Kingdom of Great Britain and Northern Ireland,GBR,lookup
WHO,United Republic of Tanzania,TZA,override
WHO,United States of America,USA,override
WHO,Uruguay,URY,lookup
WHO,Uzbekistan,UZB,lookup
WHO,Vanuatu,VUT,lookup
WHO,Venezuela (Bolivarian Republic of),VEN,override
WHO,Viet Nam,VNM,override
WHO,Yemen,YEM,lookup
