source_type,name,reason
GBD,Abia,unmatched
GBD,Abra,unmatched
GBD,Abruzzo,unmatched
GBD,Aceh,unmatched
GBD,Acre,unmatched
GBD,Adamawa,unmatched
GBD,Addis Ababa,unmatched
GBD,Afar,unmatched
GBD,African Union,unmatched
GBD,Agder,unmatched
GBD,Aguascalientes,unmatched
GBD,Agusan Del Norte,unmatched
GBD,Agusan Del Sur,unmatched
GBD,Aichi,unmatched
GBD,Akita,unmatched
GBD,Aklan,unmatched
GBD,Akwa Ibom,unmatched
GBD,Alabama,unmatched
GBD,Alagoas,unmatched
GBD,Alaska,unmatched
GBD,Albay,unmatched
GBD,Alborz,unmatched
GBD,Amapá,unmatched
GBD,Amazonas,unmatched
GBD,Amhara,unmatched
GBD,Anambra,unmatched
GBD,Andean Latin America,unmatched
GBD,Andhra Pradesh,unmatched
GBD,Antique,unmatched
GBD,Aomori,unmatched
GBD,Apayao,unmatched
GBD,Ardebil,unmatched
GBD,Arizona,unmatched
GBD,Arkansas,unmatched
GBD,Arunachal Pradesh,unmatched
GBD,Assam,unmatched
GBD,Aurora,unmatched
GBD,Australasia,unmatched
GBD,Azad Jammu & Kashmir,unmatched
GBD,Bahia,unmatched
GBD,Baja California,unmatched
GBD,Baja California Sur,unmatched
GBD,Bali,unmatched
GBD,Balochistan,unmatched
GBD,Bangka-Belitung Islands,unmatched
GBD,Banten,unmatched
GBD,Baringo,unmatched
GBD,Basilan,unmatched
GBD,Basilicata,unmatched
GBD,Bataan,unmatched
GBD,Batanes,unmatched
GBD,Batangas,unmatched
GBD,Bauchi,unmatched
GBD,Bayelsa,unmatched
GBD,Bengkulu,unmatched
GBD,Benguet,unmatched
GBD,Benishangul-Gumuz,unmatched
GBD,Benue,unmatched
GBD,Bihar,unmatched
GBD,Biliran,unmatched
GBD,Bohol,unmatched
GBD,Bomet,unmatched
GBD,Borno,unmatched
GBD,Brazil Central-West,unmatched
GBD,Brazil North,unmatched
GBD,Brazil Northeast,unmatched
GBD,Brazil South,unmatched
GBD,Brazil Southeast,unmatched
GBD,Bukidnon,unmatched
GBD,Bulacan,unmatched
GBD,Bungoma,unmatched
GBD,Bushehr,unmatched
GBD,Busia,unmatched
GBD,Cagayan,unmatched
GBD,Calabria,unmatched
GBD,California,unmatched
GBD,Camarines Norte,unmatched
GBD,Camarines Sur,unmatched
GBD,Camiguin,unmatched
GBD,Campania,unmatched
GBD,Campeche,unmatched
GBD,Capiz,unmatched
GBD,Caribbean,unmatched
GBD,Catanduanes,unmatched
GBD,Cavite,unmatched
GBD,Ceará,unmatched
GBD,Cebu,unmatched
GBD,Central Africa,unmatched
GBD,Central Asia,unmatched
GBD,Central Europe,unmatched
GBD,"Central Europe, Eastern Europe, and Central Asia",unmatched
GBD,Central Java,unmatched
GBD,Central Kalimantan,unmatched
GBD,Central Latin America,unmatched
GBD,Central Sub-Saharan Africa,unmatched
GBD,Central Sulawesi,unmatched
GBD,Chahar Mahaal and Bakhtiari,unmatched
GBD,Chhattisgarh,unmatched
GBD,Chiapas,unmatched
GBD,Chiba,unmatched
GBD,Chihuahua,unmatched
GBD,Coahuila,unmatched
GBD,Colima,unmatched
GBD,Colorado,unmatched
GBD,Commonwealth,unmatched
GBD,Commonwealth High Income,unmatched
GBD,Commonwealth Low Income,unmatched
GBD,Commonwealth Middle Income,unmatched
GBD,Connecticut,unmatched
GBD,Cotabato (North Cotabato),unmatched
GBD,Cross River,unmatched
GBD,Davao Del Norte,unmatched
GBD,Davao Del Sur,unmatched
GBD,Davao Occidental,unmatched
GBD,Davao Oriental,unmatched
GBD,Davao de Oro,unmatched
GBD,Delaware,unmatched
GBD,Delhi,unmatched
GBD,Delta,unmatched
GBD,Dinagat Islands,unmatched
GBD,Dire Dawa,unmatched
GBD,District of Columbia,unmatched
GBD,Distrito Federal,unmatched
GBD,Dolnośląskie,unmatched
GBD,Durango,unmatched
GBD,East Asia,unmatched
GBD,East Asia & Pacific - WB,unmatched
GBD,East Azarbayejan,unmatched
