iso3,location_name,region_name,year,number_suicides_2021,crude_suicide_rate_2021,age_standardized_suicide_rate_2021,data_quality,income_group,age_name,gbd_addiction_death_rate_both,gbd_addiction_death_rate_female,gbd_addiction_death_rate_male,gbd_depression_dalys_rate_both,gbd_selfharm_death_rate_female,gbd_selfharm_death_rate_male,gbd_year
DZA,Algeria,African Region,2021,976,2.2,2.3,Very low,UMI,20-24 years,2.4325555267788004,1.0113420032821951,3.853797829498577,1119.1599471615084,3.995973230864696,9.43625979422186,2023
DZA,Algeria,African Region,2021,976,2.2,2.3,Very low,UMI,25+ years,2.4325555267788004,1.0113420032821951,3.853797829498577,1101.3123718468826,2.759751579021697,6.4309822815941695,2023
DZA,Algeria,African Region,2021,976,2.2,2.3,Very low,UMI,<20 years,2.4325555267788004,1.0113420032821951,3.853797829498577,354.0252885507614,1.103727299059091,1.5093175814030972,2023
AGO,Angola,African Region,2021,2802,8.1,14.6,Very low,LMI,20-24 years,2.656141106143052,0.8176106754340438,4.827507609341056,1404.505325088844,4.5238524439087335,19.23210087224622,2023
AGO,Angola,African Region,2021,2802,8.1,14.6,Very low,LMI,25+ years,2.656141106143052,0.8176106754340438,4.827507609341056,1419.1283688601425,6.029627272192832,32.347741990008274,2023
AGO,Angola,African Region,2021,2802,8.1,14.6,Very low,LMI,<20 years,2.656141106143052,0.8176106754340438,4.827507609341056,410.11649282384815,1.3953666006045389,3.6015850248222496,2023
BEN,Benin,African Region,2021,956,7.1,11.8,Very low,LMI,20-24 years,1.4121794622004518,0.5455995017749077,2.3613707291941157,789.6674296251596,3.2573676611252296,10.974822636695796,2023
BEN,Benin,African Region,2021,956,7.1,11.8,Very low,LMI,25+ years,1.4121794622004518,0.5455995017749077,2.3613707291941157,851.4645851330157,6.742950533719554,25.475367531126903,2023
BEN,Benin,African Region,2021,956,7.1,11.8,Very low,LMI,<20 years,1.4121794622004518,0.5455995017749077,2.3613707291941157,221.68926444459044,0.8501427274255166,2.3394433551579734,2023
BWA,Botswana,African Region,2021,201,8.4,10.4,Very low,UMI,20-24 years,1.2723911520563282,0.699063355237425,1.9878688958395745,784.5101139095403,3.2391707233664127,12.426320733148607,2023
BWA,Botswana,African Region,2021,201,8.4,10.4,Very low,UMI,25+ years,1.2723911520563282,0.699063355237425,1.9878688958395745,867.6365443506744,7.030043917769216,28.609614211547207,2023
BWA,Botswana,African Region,2021,201,8.4,10.4,Very low,UMI,<20 years,1.2723911520563282,0.699063355237425,1.9878688958395745,246.65091398962187,1.545823139818646,3.3481263705573627,2023
BFA,Burkina Faso,African Region,2021,1869,8.5,15.4,Very low,LI,20-24 years,1.3921247310820306,0.6419659017867326,2.213996306179242,1011.2467168070572,2.8937182192865145,11.718120359049848,2023
BFA,Burkina Faso,African Region,2021,1869,8.5,15.4,Very low,LI,25+ years,1.3921247310820306,0.6419659017867326,2.213996306179242,1039.5928917088436,4.8732539169175375,24.428824735581095,2023
BFA,Burkina Faso,African Region,2021,1869,8.5,15.4,Very low,LI,<20 years,1.3921247310820306,0.6419659017867326,2.213996306179242,271.160053560606,0.7552602403623728,2.146982910002552,2023
BDI,Burundi,African Region,2021,992,7.7,14.8,Very low,LI,20-24 years,4.298270777417224,2.5073297971539525,5.980899592745412,908.7821899277122,5.8695346769422425,18.676491984463546,2023
BDI,Burundi,African Region,2021,992,7.7,14.8,Very low,LI,25+ years,4.298270777417224,2.5073297971539525,5.980899592745412,973.5978790421416,8.169717826780476,31.19627568336852,2023
BDI,Burundi,African Region,2021,992,7.7,14.8,Very low,LI,<20 years,4.298270777417224,2.5073297971539525,5.980899592745412,262.66588101812965,1.981081953602295,3.6817239226221754,2023
CPV,Cabo Verde,African Region,2021,77,14.9,16.6,Low,LMI,20-24 years,1.116927766824403,0.4408439468792856,1.8408162002821145,724.6428112375106,1.5118703938608689,13.426082380549628,2023
CPV,Cabo Verde,African Region,2021,77,14.9,16.6,Low,LMI,25+ years,1.116927766824403,0.4408439468792856,1.8408162002821145,802.0494975183007,6.1587264452056,36.82443388707516,2023
CPV,Cabo Verde,African Region,2021,77,14.9,16.6,Low,LMI,<20 years,1.116927766824403,0.4408439468792856,1.8408162002821145,253.93133868185743,0.3328204068708179,2.332951949538991,2023
CMR,Cameroon,African Region,2021,2287,8.5,13.8,Very low,LMI,20-24 years,1.906709370039975,0.940845195384262,2.88047012702908,851.4634530820804,3.817500910817929,16.68778915232635,2023
CMR,Cameroon,African Region,2021,2287,8.5,13.8,Very low,LMI,25+ years,1.906709370039975,0.940845195384262,2.88047012702908,914.8853433698524,7.261150538341383,30.94849664582129,2023
CMR,Cameroon,African Region,2021,2287,8.5,13.8,Very low,LMI,<20 years,1.906709370039975,0.940845195384262,2.88047012702908,251.09641818653503,1.001670161164501,3.478727289925781,2023
CAF,Central African Republic,African Region,2021,470,9.2,18.7,Very low,LI,20-24 years,1.8771459734634264,1.1403091718028615,2.661782113842222,1404.472234690649,4.733048936612704,25.00036887818445,2023
CAF,Central African Republic,African Region,2021,470,9.2,18.7,Very low,LI,25+ years,1.8771459734634264,1.1403091718028615,2.661782113842222,1410.4804726728871,7.885830226161756,41.53166212314229,2023
CAF,Central African Republic,African Region,2021,470,9.2,18.7,Very low,LI,<20 years,1.8771459734634264,1.1403091718028615,2.661782113842222,392.9595630959054,1.4390352617004587,4.035525014961923,2023
TCD,Chad,African Region,2021,929,5.2,10.7,Very low,LI,20-24 years,1.9212343501750395,1.0323201053527746,2.721257193105435,1209.3654362387192,4.347865733620895,17.04340065341271,2023
TCD,Chad,African Region,2021,929,5.2,10.7,Very low,LI,25+ years,1.9212343501750395,1.0323201053527746,2.721257193105435,1218.5362901560263,8.3368100263576,33.040427174427556,2023
TCD,Chad,African Region,2021,929,5.2,10.7,Very low,LI,<20 years,1.9212343501750395,1.0323201053527746,2.721257193105435,313.8767339484255,1.011074055751242,3.238197093795105,2023
COM,Comoros,African Region,2021,49,6.0,8.9,Very low,LMI,20-24 years,1.2147687798382951,0.7997675605640782,1.6194888879231495,1039.1692631705234,2.6121731313070504,8.854187321797946,2023
COM,Comoros,African Region,2021,49,6.0,8.9,Very low,LMI,25+ years,1.2147687798382951,0.7997675605640782,1.6194888879231495,1057.119738844203,6.60746685358653,18.48818861996862,2023
COM,Comoros,African Region,2021,49,6.0,8.9,Very low,LMI,<20 years,1.2147687798382951,0.7997675605640782,1.6194888879231495,340.1557766023981,1.138839840889331,1.9109351775258303,2023
COG,Congo,African Region,2021,396,6.7,11.2,Very low,LMI,20-24 years,2.476474523888448,0.8843651826729739,4.067388225045911,1498.7778298614194,4.185544988098987,18.567171409762583,2023
COG,Congo,African Region,2021,396,6.7,11.2,Very low,LMI,25+ years,2.476474523888448,0.8843651826729739,4.067388225045911,1438.6482651974306,5.940314823094024,30.045842340636344,2023
COG,Congo,African Region,2021,396,6.7,11.2,Very low,LMI,<20 years,2.476474523888448,0.8843651826729739,4.067388225045911,470.76516529079777,1.2897957829763562,3.4006539890864484,2023
CIV,Côte d'Ivoire,African Region,2021,2191,7.4,12.7,Very low,LMI,20-24 years,1.7876171540963142,0.7406140177764704,2.6788249846199235,821.46492662417,3.3465454973701068,14.26631681834415,2023
CIV,Côte d'Ivoire,African Region,2021,2191,7.4,12.7,Very low,LMI,25+ years,1.7876171540963142,0.7406140177764704,2.6788249846199235,837.1211876060288,5.075384614190007,25.170203241778083,2023
CIV,Côte d'Ivoire,African Region,2021,2191,7.4,12.7,Very low,LMI,<20 years,1.7876171540963142,0.7406140177764704,2.6788249846199235,248.2220645267684,0.9180002967493436,4.30948075836258,2023
COD,Democratic Republic of the Congo,African Region,2021,8695,8.8,15.8,Very low,LI,20-24 years,2.762685750721575,1.458207020890451,4.124662011887094,1425.0494097480555,5.078098700481907,18.976303141446547,2023
COD,Democratic Republic of the Congo,African Region,2021,8695,8.8,15.8,Very low,LI,25+ years,2.762685750721575,1.458207020890451,4.124662011887094,1438.312669396636,7.077752334022226,34.01370974973818,2023
COD,Democratic Republic of the Congo,African Region,2021,8695,8.8,15.8,Very low,LI,<20 years,2.762685750721575,1.458207020890451,4.124662011887094,432.6653904742661,1.571541306812533,3.9340237631345767,2023
GNQ,Equatorial Guinea,African Region,2021,124,7.0,10.5,Very low,UMI,20-24 years,3.981797324773325,1.1182959323975583,7.1819735562341736,1183.993633696643,3.6888618011557184,21.105146720716498,2023
GNQ,Equatorial Guinea,African Region,2021,124,7.0,10.5,Very low,UMI,25+ years,3.981797324773325,1.1182959323975583,7.1819735562341736,1235.08227988639,6.890927389272348,37.36938464280789,2023
