source,target,weight
AFG,YEM,0.4925
AFG,SDN,0.4467
AFG,PAK,0.3833
AFG,ZWE,0.3541
AGO,COG,0.4423
AGO,HTI,0.4185
AGO,GNQ,0.3713
AGO,TUN,0.3534
ALB,BIH,0.5399
ALB,MKD,0.4934
ALB,ARM,0.4186
ALB,SRB,0.3973
ARE,SAU,0.4815
ARE,KWT,0.4606
ARE,BHR,0.4512
ARE,QAT,0.4182
ARG,CHL,0.5019
ARG,URY,0.4617
ARG,DOM,0.4073
ARG,PER,0.4013
ARM,BIH,0.4419
ARM,CPV,0.3946
ARM,NPL,0.3774
ATG,GRD,0.4914
ATG,MUS,0.4042
ATG,LCA,0.384
ATG,BLZ,0.3423
AUS,DEU,0.5906
AUS,FRA,0.4355
AUS,NZL,0.4326
AUS,SWE,0.4119
AUT,FRA,0.3753
AUT,NZL,0.3721
AUT,FIN,0.3657
AUT,AUS,0.3582
AZE,PRK,0.6078
AZE,NIC,0.559
AZE,UZB,0.545
AZE,TKM,0.4836
BDI,MDG,0.5007
BDI,KEN,0.4828
BDI,MLI,0.4717
BDI,MWI,0.4491
BEL,SWE,0.4767
BEL,FRA,0.4426
BEL,AUS,0.3989
BEL,NZL,0.3812
BEN,MLI,0.4212
BEN,TZA,0.4093
BEN,GNB,0.4059
BEN,CIV,0.3878
BFA,TZA,0.4491
BFA,UGA,0.3922
BFA,BEN,0.3786
BFA,CMR,0.368
BGD,EGY,0.4591
BGD,PAK,0.4245
BGD,ETH,0.4177
BGD,COM,0.4027
BGR,HUN,0.4177
BGR,PER,0.361
BGR,SYC,0.3592
BGR,THA,0.3514
BHR,KWT,0.6086
BHR,SAU,0.5049
BHR,OMN,0.4444
BHS,URY,0.3702
BHS,BRN,0.3556
BHS,BRB,0.353
BHS,SAU,0.3497
BIH,MKD,0.4527
BIH,SRB,0.45
BLR,MNG,0.3366
BLR,RUS,0.3074
BLR,EST,0.2752
BLR,POL,0.2501
BLZ,AZE,0.4613
BLZ,ERI,0.4427
BLZ,GRD,0.4184
BLZ,TKM,0.4093
BOL,PHL,0.4435
BOL,MEX,0.4386
BOL,PRY,0.4366
BOL,HND,0.4169
BRA,PRY,0.3741
BRA,ARG,0.355
BRA,CRI,0.3541
BRA,PAN,0.3434
BRB,TTO,0.4833
BRB,SRB,0.4338
BRB,PRT,0.4311
BRB,HUN,0.43
BRN,OMN,0.4573
BRN,CHN,0.4087
BRN,AZE,0.3979
BRN,PRK,0.3973
BTN,UZB,0.4845
BTN,TON,0.4316
BTN,IND,0.4315
BTN,SLB,0.4231
BWA,NAM,0.4077
BWA,VCT,0.3445
BWA,DJI,0.3364
BWA,CPV,0.2803
CAF,COD,0.5496
CAF,TGO,0.353
CAF,TCD,0.3496
