iso3,location_name,region_name,income_group,suicide_rate,depression_dalys_rate,addiction_death_rate,selfharm_death_rate,sex_name,year
AFG,Afghanistan,Eastern Mediterranean Region,LI,5.3,937.1832374447837,0.7412596062538822,2.4423429010429083,Both,2021
AGO,Angola,African Region,LMI,14.6,1077.9167289242782,2.656141106143052,11.188379033963807,Both,2021
ALB,Albania,European Region,UMI,2.1,426.22844874696233,1.5429225040391514,3.4877817807880245,Both,2021
ARE,United Arab Emirates,Eastern Mediterranean Region,HI,1.7,767.1272461737085,1.2092952073985983,3.017359610524371,Both,2021
ARG,Argentina,Region of the Americas,UMI,7.7,856.253713520422,1.027971938168997,12.080596716333536,Both,2021
ARM,Armenia,European Region,UMI,1.8999999999999997,669.8726248217421,1.4297610881187712,3.8534920127518535,Both,2021
ATG,Antigua and Barbuda,Region of the Americas,HI,1.3999999999999997,708.8225339370446,7.915490964670316,0.8826434663405315,Both,2021
AUS,Australia,Western Pacific Region,HI,11.699999999999998,778.7757378430974,5.821315313123617,10.770185524137512,Both,2021
AUT,Austria,European Region,HI,10.2,491.15481231115797,5.944546877828077,11.088211707326856,Both,2021
AZE,Azerbaijan,European Region,UMI,1.6000000000000003,663.0871071833087,2.409563021872855,3.4970435901301076,Both,2021
BDI,Burundi,African Region,LI,14.800000000000002,715.0153166626611,4.298270777417224,11.595804341296542,Both,2021
BEL,Belgium,European Region,HI,14.300000000000002,792.3630159442922,4.597232918460887,11.71636832820886,Both,2021
BEN,Benin,African Region,LMI,11.800000000000002,620.9404264009219,1.4121794622004515,8.273349074208495,Both,2021
BFA,Burkina Faso,African Region,LI,15.4,773.9998873588356,1.3921247310820306,7.802693396866654,Both,2021
BGD,Bangladesh,South-East Asia Region,LMI,2.9,986.1044138064226,3.0176815226034654,5.176303972310599,Both,2021
BGR,Bulgaria,European Region,HI,6.3,475.4805697157597,2.278250032059858,7.179836288037486,Both,2021
BHR,Bahrain,Eastern Mediterranean Region,HI,4.2,787.5831424510952,0.4485301133067996,3.1076276491575583,Both,2021
BHS,Bahamas,Region of the Americas,HI,2.9,738.2264615691553,4.132822390671065,2.3885807167833244,Both,2021
BIH,Bosnia and Herzegovina,European Region,UMI,5.7,530.8041077833058,3.189222068238299,8.223829032746279,Both,2021
BLR,Belarus,European Region,UMI,11.699999999999998,604.2224817865758,21.89027724569611,13.827894186444226,Both,2021
BLZ,Belize,Region of the Americas,UMI,4.6,757.9776540470389,3.1738269279822746,6.114268179994343,Both,2021
BOL,Bolivia,Region of the Americas,LMI,5.1,551.6898102448475,4.29158145398237,6.830558263286119,Both,2021
BRA,Brazil,Region of the Americas,UMI,6.900000000000001,742.293702425085,4.254415083733091,9.057396213831725,Both,2021
BRB,Barbados,Region of the Americas,HI,2.7999999999999994,679.2782214814754,2.047493396145454,4.100143741569959,Both,2021
BRN,Brunei Darussalam,Western Pacific Region,HI,2.7999999999999994,543.2182907842733,0.8902702408385353,3.3964280559788134,Both,2021
BTN,Bhutan,South-East Asia Region,LMI,5.1,593.8960209184542,1.4367243110114696,7.190389785120117,Both,2021
BWA,Botswana,African Region,UMI,10.4,632.9325240832788,1.2723911520563282,9.366516516034576,Both,2021
CAF,Central African Republic,African Region,LI,18.7,1069.3040901531472,1.8771459734634266,14.104245073460596,Both,2021
CAN,Canada,Region of the Americas,HI,8.1,671.7304876776519,17.977591031048537,11.296988219235798,Both,2021
CHE,Switzerland,European Region,HI,9.9,1036.266467267588,4.68862254075714,8.73503280939381,Both,2021
CHL,Chile,Region of the Americas,HI,6.8,991.9895392560838,1.8708185034918696,9.612432826857594,Both,2021
CHN,China,Western Pacific Region,UMI,6.8,554.8712234835081,1.261334893215779,4.526081957864927,Both,2021
CIV,Côte d'Ivoire,African Region,LMI,12.699999999999998,635.6027262523224,1.7876171540963142,8.847655204465712,Both,2021
CMR,Cameroon,African Region,LMI,13.800000000000002,672.4817382128226,1.906709370039975,10.532555783066206,Both,2021
COD,Democratic Republic of the Congo,African Region,LI,15.800000000000002,1098.6758232063191,2.762685750721575,11.775238165939328,Both,2021
COG,Congo,African Region,LMI,11.199999999999998,1136.0637534498826,2.476474523888448,10.571553888942457,Both,2021
COL,Colombia,Region of the Americas,UMI,4.7,463.9965849108748,0.5714507849749912,7.678676128954912,Both,2021
COM,Comoros,African Region,LMI,8.9,812.1482595390415,1.2147687798382951,6.601965157512552,Both,2021
CPV,Cabo Verde,African Region,LMI,16.6,593.5412158125563,1.116927766824403,10.097814243850179,Both,2021
CRI,Costa Rica,Region of the Americas,UMI,7.599999999999999,634.570203427922,2.5105118772769135,9.05050900765413,Both,2021
CUB,Cuba,Region of the Americas,UMI,9.2,693.130858895605,3.796782261150254,12.545404359976901,Both,2021
CYP,Cyprus,European Region,HI,2.7000000000000006,580.9887726010105,1.945259501282564,3.253085094668588,Both,2021
CZE,Czechia,European Region,HI,10.3,576.8863165596109,4.0428688344046675,9.589385615622389,Both,2021
DEU,Germany,European Region,HI,8.2,834.6148492089613,6.614660789633835,11.490859938312871,Both,2021
DJI,Djibouti,Eastern Mediterranean Region,LMI,10.1,685.7751826276485,3.540248882725358,10.484176916131855,Both,2021
DNK,Denmark,European Region,HI,7.599999999999999,682.9927895247557,10.763274179056756,7.719312894420462,Both,2021
DOM,Dominican Republic,Region of the Americas,UMI,4.3,828.107922297971,2.1639305456319344,7.155239105149428,Both,2021
DZA,Algeria,African Region,UMI,2.3,858.165869186384,2.4325555267788004,4.206001961027435,Both,2021
ECU,Ecuador,Region of the Americas,UMI,7.400000000000001,670.9318190517406,1.5784985379134715,10.143238342911646,Both,2021
EGY,Egypt,Eastern Mediterranean Region,LMI,0.6999999999999998,925.9450077960784,0.206159742111272,0.9738520859023921,Both,2021
ERI,Eritrea,African Region,LI,20.2,680.7513172285936,4.657292306306048,16.962646714217268,Both,2021
